fid,lat,long
696,6.910935,79.887353
697,6.910935,79.887353
698,6.910935,79.887353
699,6.910935,79.887353
700,6.910935,79.887353
701,6.910935,79.887353
702,6.910935,79.887353
703,6.910935,79.887353
704,6.910935,79.887353
705,6.910935,79.887353
706,6.910935,79.887353
707,6.910935,79.887353
708,6.910935,79.887353
709,6.910935,79.887353
710,6.910935,79.887353
711,6.910935,79.887353
712,6.910935,79.887353
713,6.910935,79.887353
714,6.910935,79.887353
715,6.910935,79.887353
716,6.910935,79.887353
717,6.910935,79.887353
718,6.910935,79.887353
719,6.910935,79.887353
720,6.910935,79.887353
721,6.910935,79.887353
722,6.910935,79.887353
723,6.910910,79.887369
724,6.910904,79.887370
725,6.910898,79.887369
726,6.910898,79.887368
727,6.910898,79.887368
728,6.910898,79.887368
729,6.910898,79.887368
730,6.910898,79.887368
731,6.910898,79.887368
732,6.910898,79.887368
733,6.910898,79.887368
734,6.910898,79.887368
735,6.910898,79.887368
736,6.910898,79.887368
737,6.910898,79.887368
738,6.910889,79.887362
739,6.910886,79.887364
740,6.910881,79.887377
741,6.910874,79.887402
742,6.910861,79.887440
743,6.910848,79.887492
744,6.910827,79.887548
745,6.910801,79.887606
746,6.910768,79.887669
747,6.910739,79.887735
748,6.910712,79.887790
749,6.910676,79.887839
750,6.910631,79.887888
751,6.910574,79.887934
752,6.910513,79.887982
753,6.910442,79.888029
754,6.910375,79.888074
755,6.910309,79.888113
756,6.910249,79.888155
757,6.910198,79.888197
758,6.910143,79.888233
759,6.910087,79.888272
760,6.910039,79.888306
761,6.909990,79.888336
762,6.909947,79.888369
763,6.909901,79.888402
764,6.909851,79.888442
765,6.909794,79.888484
766,6.909734,79.888528
767,6.909666,79.888576
768,6.909608,79.888635
769,6.909553,79.888683
770,6.909509,79.888728
771,6.909469,79.888774
772,6.909428,79.888821
773,6.909384,79.888882
774,6.909339,79.888942
775,6.909296,79.889008
776,6.909256,79.889082
777,6.909222,79.889156
778,6.909189,79.889247
779,6.909159,79.889342
780,6.909129,79.889439
781,6.909102,79.889543
782,6.909077,79.889648
783,6.909056,79.889752
784,6.909036,79.889861
785,6.909013,79.889963
786,6.908991,79.890068
787,6.908969,79.890179
788,6.908950,79.890289
789,6.908935,79.890405
790,6.908916,79.890510
791,6.908890,79.890620
792,6.908868,79.890731
793,6.908844,79.890837
794,6.908824,79.890951
795,6.908805,79.891059
796,6.908789,79.891167
797,6.908772,79.891276
798,6.908755,79.891386
799,6.908741,79.891506
800,6.908727,79.891626
801,6.908712,79.891739
802,6.908691,79.891854
803,6.908677,79.891963
804,6.908659,79.892072
805,6.908639,79.892181
806,6.908619,79.892283
807,6.908602,79.892391
808,6.908580,79.892501
809,6.908553,79.892607
810,6.908530,79.892720
811,6.908505,79.892833
812,6.908485,79.892937
813,6.908468,79.893045
814,6.908454,79.893156
815,6.908437,79.893269
816,6.908427,79.893378
817,6.908409,79.893481
818,6.908399,79.893587
819,6.908382,79.893697
820,6.908373,79.893804
821,6.908368,79.893913
822,6.908376,79.894026
823,6.908387,79.894144
824,6.908403,79.894255
825,6.908426,79.894358
826,6.908451,79.894449
827,6.908472,79.894544
828,6.908501,79.894642
829,6.908530,79.894734
830,6.908554,79.894817
831,6.908577,79.894891
832,6.908590,79.894952
833,6.908589,79.895002
834,6.908577,79.895045
835,6.908549,79.895073
836,6.908505,79.895081
837,6.908441,79.895055
838,6.908394,79.895005
839,6.908360,79.894917
840,6.908330,79.894823
841,6.908303,79.894731
842,6.908263,79.894630
843,6.908227,79.894535
844,6.908207,79.894442
845,6.908191,79.894345
846,6.908178,79.894243
847,6.908169,79.894138
848,6.908162,79.894026
849,6.908153,79.893908
850,6.908148,79.893787
851,6.908155,79.893667
852,6.908165,79.893544
853,6.908183,79.893427
854,6.908206,79.893312
855,6.908236,79.893194
856,6.908262,79.893074
857,6.908291,79.892958
858,6.908316,79.892843
859,6.908343,79.892730
860,6.908370,79.892614
861,6.908397,79.892495
862,6.908424,79.892383
863,6.908443,79.892272
864,6.908463,79.892158
865,6.908479,79.892048
866,6.908495,79.891937
867,6.908514,79.891824
868,6.908535,79.891711
869,6.908548,79.891597
870,6.908568,79.891486
871,6.908590,79.891372
872,6.908614,79.891257
873,6.908632,79.891145
874,6.908656,79.891032
875,6.908677,79.890923
876,6.908698,79.890810
877,6.908721,79.890699
878,6.908743,79.890591
879,6.908765,79.890481
880,6.908786,79.890370
